,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
0,Montour-County,1.458%,2.146%,8.049%,15.580%,6.885%,13.869%,41.649%,7.180%,2.510%,0.673%
1,Beaver-County,0.320%,0.907%,6.253%,15.715%,12.448%,17.180%,39.069%,5.791%,1.712%,0.605%
2,Sullivan-County,0.828%,0.455%,5.588%,10.803%,8.030%,17.674%,48.096%,6.250%,1.863%,0.414%
3,Fayette-County,0.457%,0.385%,4.325%,10.242%,10.180%,13.335%,48.722%,8.838%,2.792%,0.726%
4,Warren-County,0.547%,0.467%,5.296%,12.633%,10.479%,17.576%,45.604%,5.643%,1.094%,0.660%
5,Pike-County,0.411%,1.199%,9.337%,16.319%,9.090%,21.265%,33.546%,6.653%,1.494%,0.687%
6,Clinton-County,0.843%,0.671%,5.581%,11.209%,10.647%,14.027%,45.133%,9.164%,2.131%,0.593%
7,Clearfield-County,0.424%,0.344%,3.713%,9.727%,10.771%,13.296%,50.754%,8.138%,2.153%,0.680%
8,Perry-County,0.284%,0.568%,5.369%,11.053%,9.354%,18.251%,44.652%,7.909%,1.804%,0.754%
9,Forest-County,0.461%,0.132%,5.270%,8.630%,7.905%,13.439%,54.216%,7.576%,1.318%,1.054%
10,Clarion-County,1.013%,0.551%,6.731%,13.975%,8.004%,14.236%,44.732%,7.088%,2.978%,0.692%
11,Erie-County,0.881%,0.854%,8.456%,17.319%,9.268%,15.648%,39.190%,5.874%,1.599%,0.910%
12,Franklin-County,0.604%,0.758%,6.641%,12.902%,9.194%,15.536%,42.113%,8.355%,3.247%,0.652%
13,Luzerne-County,0.687%,0.906%,7.291%,13.736%,10.319%,17.831%,38.456%,7.267%,2.564%,0.943%
14,Chester-County,2.119%,2.292%,15.153%,30.263%,6.836%,14.115%,22.943%,3.588%,2.127%,0.566%
15,Allegheny-County,1.761%,2.171%,11.797%,21.640%,10.117%,16.419%,29.866%,4.324%,1.132%,0.773%
16,Monroe-County,0.793%,0.957%,7.391%,15.643%,8.683%,21.937%,34.956%,6.634%,2.257%,0.750%
17,Northumberland-County,0.366%,0.591%,5.237%,9.850%,8.375%,13.175%,48.653%,9.631%,3.217%,0.905%
18,Wyoming-County,0.391%,0.631%,6.613%,12.514%,9.378%,16.171%,46.779%,5.771%,1.533%,0.220%
19,Lancaster-County,0.682%,1.143%,7.064%,16.631%,7.813%,14.836%,37.209%,7.941%,5.461%,1.220%
20,Montgomery-County,2.145%,2.815%,15.765%,26.253%,7.863%,14.757%,24.636%,3.746%,1.478%,0.542%
21,Juniata-County,0.205%,0.193%,5.264%,9.107%,7.265%,12.757%,49.153%,9.630%,5.185%,1.239%
22,Lawrence-County,0.560%,0.708%,6.416%,12.545%,9.188%,14.802%,45.924%,6.828%,2.296%,0.732%
23,Cambria-County,0.523%,0.811%,6.252%,12.460%,11.163%,15.096%,44.207%,6.254%,2.191%,1.042%
24,Snyder-County,0.879%,1.128%,5.339%,9.506%,9.082%,13.395%,43.863%,9.646%,6.013%,1.150%
25,Cameron-County,0.488%,1.463%,2.329%,10.347%,8.505%,16.956%,46.100%,11.701%,2.004%,0.108%
26,Berks-County,0.528%,0.771%,7.645%,15.256%,8.637%,16.419%,36.903%,8.419%,4.238%,1.183%
27,Butler-County,0.801%,1.036%,10.316%,20.989%,10.465%,16.316%,33.854%,4.515%,1.088%,0.621%
28,Cumberland-County,0.880%,1.566%,9.687%,20.462%,8.735%,16.037%,34.294%,5.640%,1.900%,0.799%
29,Centre-County,3.801%,1.196%,13.579%,23.054%,8.461%,12.983%,30.660%,4.198%,1.511%,0.557%
30,Huntingdon-County,0.396%,0.461%,4.984%,11.853%,8.847%,15.736%,48.395%,6.612%,2.090%,0.626%
31,Northampton-County,0.957%,1.105%,8.263%,17.329%,9.945%,18.091%,34.914%,6.064%,2.500%,0.832%
