,City,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County,Higher Degree,H.S Diploma,No H.S Diploma,ZipCode,Lat,Long
0,Aaronsburg,613,52.2,60710,53.5,46.5,26139,170914," [(['White alone'], ['606']), (['Hispanic'], ['3']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Centre-County,50.01013,43.290219,6.6996509999999985,16820,40.86,-77.39
1,Bellefonte,6227,42.0,56571,48.8,51.2,31247,189215," [(['White alone'], ['5,959']), (['Black alone'], ['146']), (['Hispanic'], ['51']), (['American Indian alone'], ['34']), (['Asian alone'], ['16']), (['Two or more races'], ['19'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16823,40.91,-77.76
2,Blanchard,740,34.8,48846,48.3,51.7,30640,135294," [(['White alone'], ['722']), (['American Indian alone'], ['8']), (['Two or more races'], ['5']), (['Hispanic'], ['3']), (['Asian alone'], ['2'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16826,41.04,-77.7
3,Boalsburg,3722,44.6,108712,51.8,48.2,43686,266992," [(['White alone'], ['3,443']), (['Black alone'], ['77']), (['Asian alone'], ['74']), (['Two or more races'], ['62']), (['Hispanic'], ['59']), (['Other race alone'], ['5']), (['American Indian alone'], ['2'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16827,40.77,-77.79
4,Centre Hall,1238,43.1,63807,49.2,50.8,29473,200108," [(['White alone'], ['1,248']), (['Hispanic'], ['7']), (['Two or more races'], ['5']), (['Asian alone'], ['4']), (['Black alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16828,40.84,-77.68
5,Clarence,626,46.6,55731,52.4,47.6,27037,141176," [(['White alone'], ['622']), (['American Indian alone'], ['2']), (['Hispanic'], ['2'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16829,41.08,-77.87
6,Coburn,236,31.9,67538,50.0,50.0,23545,134204," [(['White alone'], ['228']), (['Hispanic'], ['4']), (['Black alone'], ['2']), (['Two or more races'], ['2'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16832,40.85,-77.49
7,Howard,718,44.7,55523,50.3,49.7,27453,162527," [(['White alone'], ['695']), (['Hispanic'], ['10']), (['Two or more races'], ['8']), (['Other race alone'], ['3']), (['Black alone'], ['2']), (['Asian alone'], ['2'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16841,41.01,-77.65
8,Lemont,2270,45.9,98769,49.5,50.5,49294,249454," [(['White alone'], ['2,119']), (['Asian alone'], ['44']), (['Black alone'], ['39']), (['Two or more races'], ['31']), (['Hispanic'], ['30']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Centre-County,50.01013,43.290219,6.6996509999999985,16851,40.78,-77.9
9,Milesburg,1095,34.3,50180,46.9,53.1,26728,155446," [(['White alone'], ['1,106']), (['Black alone'], ['5']), (['Asian alone'], ['5']), (['Hispanic'], ['3']), (['Two or more races'], ['2']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16853,40.94,-77.79
10,Millheim,886,41.5,69671,53.9,46.1,28003,157080," [(['White alone'], ['886']), (['Two or more races'], ['14']), (['Hispanic'], ['2']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16854,40.89,-77.47
