,ZipCode,Lat,Long
0,15001.0,40.61,-80.25
1,15003.0,40.59,-80.22
2,15004.0,40.39,-80.44
3,15005.0,40.63,-80.22
4,15006.0,40.54,-79.83
5,15007.0,40.64,-79.93
6,15009.0,40.69,-80.3
7,15010.0,40.76,-80.32
8,15012.0,40.12,-79.86
9,15014.0,40.6,-79.74
10,15015.0,40.63,-80.08
11,15017.0,40.35,-80.1
12,15018.0,40.28,-79.79
13,15019.0,40.42,-80.35
14,15020.0,40.23,-79.95
15,15021.0,40.38,-80.39
16,15022.0,40.13,-79.9
17,15024.0,40.54,-79.8
18,15025.0,40.29,-79.88
19,15026.0,40.51,-80.34
20,15027.0,40.66,-80.24
21,15028.0,40.3,-79.79
22,15030.0,40.58,-79.78
23,15031.0,40.36,-80.17
24,15032.0,40.64,-79.84
25,15033.0,40.17,-79.86
26,15034.0,40.35,-79.88
27,15035.0,40.38,-79.8
28,15037.0,40.27,-79.88
29,15038.0,40.24,-79.98
30,15042.0,40.68,-80.25
31,15043.0,40.64,-80.49
32,15044.0,40.63,-79.94
33,15045.0,40.32,-79.88
34,15046.0,40.55,-80.23
35,15047.0,40.24,-79.83
36,15049.0,40.56,-79.8
37,15050.0,40.59,-80.47
38,15051.0,40.57,-79.87
39,15052.0,40.65,-80.4
40,15053.0,40.38,-80.39
41,15054.0,40.39,-80.44
42,15055.0,40.31,-80.14
43,15056.0,40.56,-80.21
44,15057.0,40.37,-80.23
45,15059.0,40.63,-80.45
46,15060.0,40.36,-80.29
47,15061.0,40.68,-80.27
48,15062.0,40.15,-79.88
49,15063.0,40.19,-79.92
50,15064.0,40.36,-80.15
51,15065.0,40.64,-79.73
52,15066.0,40.73,-80.3
53,15067.0,40.2,-79.95
54,15068.0,40.56,-79.75
55,15071.0,40.39,-80.18
56,15072.0,40.14,-79.81
57,15074.0,40.7,-80.28
58,15075.0,40.56,-79.9
59,15076.0,40.61,-79.83
60,15077.0,40.62,-80.42
61,15078.0,40.36,-80.4
62,15081.0,40.57,-80.23
63,15082.0,40.41,-80.19
64,15083.0,40.23,-79.8
65,15084.0,40.6,-79.76
66,15085.0,40.38,-79.75
67,15086.0,40.64,-80.09
68,15087.0,40.14,-79.81
69,15088.0,40.27,-79.89
70,15089.0,40.2,-79.76
71,15090.0,40.63,-80.05
72,15091.0,40.57,-79.95
73,15101.0,40.57,-79.95
74,15102.0,40.32,-80.03
75,15104.0,40.4,-79.86
76,15106.0,40.4,-80.08
77,15108.0,40.51,-80.16
78,15110.0,40.37,-79.85
79,15112.0,40.39,-79.83
80,15116.0,40.52,-79.95
81,15120.0,40.4,-79.9
82,15122.0,40.35,-79.9
83,15126.0,40.45,-80.25
84,15127.0,40.56,-80.02
85,15129.0,40.29,-79.99
86,15131.0,40.33,-79.83
87,15136.0,40.46,-80.06
88,15137.0,40.37,-79.8
89,15139.0,40.51,-79.83
90,15140.0,40.4,-79.77
91,15142.0,40.38,-80.12
92,15143.0,40.53,-80.18
93,15144.0,40.53,-79.78
94,15145.0,40.4,-79.82
95,15146.0,40.42,-79.76
96,15147.0,40.5,-79.84
97,15148.0,40.39,-79.81
98,15201.0,40.43,-79.97
99,15301.0,40.17,-80.24
100,15310.0,39.82,-80.45
