,School Number,Cluster,County,School
1771,6577,4,ARMSTRONG,SHANNOCK VALLEY EL SCH
270,427,4,ALLEGHENY,CENTER EL SCH
1842,7572,4,YORK,SOUTH MOUNTAIN EL SCH
235,3436,4,NORTHAMPTON,CALYPSO EL SCH
271,1148,4,BUTLER,CENTER TWP SCH
1837,2216,4,FRANKLIN,SOUTH HAMILTON EL SCH
231,7221,4,WASHINGTON,CALIFORNIA AREA EL SCHOOL
2232,7841,4,CENTRE,YOUNG SCHOLARS OF CENTRAL PA CS
1769,7397,4,SOMERSET,SHANKSVILLE-STNYCRK EL
1775,7705,4,MERCER,SHARPSVILLE ELEM SCH
1840,2729,4,LEBANON,SOUTH LEBANON EL SCH
1774,7387,4,MERCER,SHARPSVILLE AREA MS
1800,7696,4,YORK,SINKING SPRINGS EL.SCHOOL
2181,8057,4,BERKS,WILLOW CREEK EL SCH
2194,7500,4,SOMERSET,WINDBER EL SCH
1813,2521,4,LANCASTER,SMOKETOWN EL SCH
2212,4563,4,YORK,WRIGHTSVILLE EL SCH
1792,7921,4,CUMBERLAND,SHIPPENSBURG INTERMEDIATE SCHO
12,2510,4,LANCASTER,ADAMSTOWN EL SCH
1812,3202,4,MONROE,SMITHFIELD EL SCH
2200,5252,4,MONTGOMERY,WOODLAND EL SCH
1794,5239,4,LEHIGH,SHOEMAKER EL SCH
255,77,4,ALLEGHENY,CARNEGIE EL SCH
2193,7145,4,SOMERSET,WINDBER AREA MS
246,7217,4,WASHINGTON,CANONSBURG MS
15,2564,4,LANCASTER,AKRON EL SCH
247,5303,4,BRADFORD,CANTON AREA EL SCH
32,7784,4,ADAMS,ALLOWAY CREEK INT SCH
1797,1310,4,CARBON,SHULL-DAVID EL SCH
18,1072,4,BUCKS,ALBERT SCHWEITZER ES
1806,1171,4,BUTLER,SLIPPERY ROCK AREA E
2205,1588,4,CLINTON,WOODWARD EL
1803,8139,4,MONTGOMERY,SKYVIEW UPPER ES
19,2799,4,LEHIGH,ALBURTIS EL SCH
1796,7556,4,YORK,SHREWSBURY ELEM SCH
267,7216,4,WASHINGTON,CECIL INTERMEDIATE SCHOOL
9,5296,4,ALLEGHENY,ACMETONIA PRIMARY SCH
243,7509,4,CUMBERLAND,CAMP HILL MS
1830,7717,4,BUTLER,SOUTH BUTLER PRIMARY
2228,4549,4,YORK,YORK TWP EL SCH
4,6839,4,LACKAWANNA,ABINGTON HEIGHTS MS
1829,7718,4,BUTLER,SOUTH BUTLER INT SCH
2226,4576,4,YORK,YORK HAVEN EL SCH
1828,592,4,ARMSTRONG,SOUTH BUFFALO TWP EL
237,7347,4,CAMBRIA,CAMBRIA HEIGHTS EL SCH
2183,4910,4,MONTGOMERY,WILLOW HILL SCH
5,3242,4,MONTGOMERY,ABINGTON JHS
244,4559,4,YORK,CANADOCHLY EL SCH
2184,8133,4,LEHIGH,WILLOW LANE ES
6,4802,4,ALLEGHENY,ABRAHAM LINCOLN EL SCH
1784,2706,4,LAWRENCE,SHENANGO EL SCH
2187,4311,4,WAYNE,WILSON EL SCH
2221,887,4,BERKS,WYOMISSING AREA JSHS
2190,6981,4,BERKS,WILSON WEST MS
2218,3255,4,MONTGOMERY,WYNCOTE EL SCH
258,5108,4,ALLEGHENY,CARSON MS
2217,4214,4,WASHINGTON,WYLANDVILLE EL SCH
1788,7757,4,WESTMORELAND,SHERIDAN TERRACE ELEM SCHOOL
1823,6398,4,LACKAWANNA,SOUTH ABINGTON SCH
2189,6982,4,BERKS,WILSON SOUTHERN MS
116,2054,4,ERIE,BELLE VALLEY EL SCH
2172,1113,4,BUCKS,WILLIAM PENN MS
158,7418,4,INDIANA,BLAIRSVILLE EL SCH
157,5079,4,MONTGOMERY,BLAIR MILL EL SCH
1955,2874,4,LUZERNE,TENTH STREET EL SCH
82,8211,4,BEAVER,BADEN ACADEMY CS
2074,3047,4,LYCOMING,WARD L MYERS EL SCH
84,2555,4,LANCASTER,BAINBRIDGE EL SCH
152,7127,4,BEAVER,BLACKHAWK INTERMEDIATE
2072,1071,4,BUCKS,WALTER MILLER ES
2070,1112,4,BUCKS,WALT DISNEY EL SCH
1966,2393,4,JUNIATA,THOMPSONTOWN-DELAWAR
2068,7384,4,ERIE,WALNUT CREEK MS
1968,7992,4,BERKS,TILDEN EL CENTER
2065,7169,4,PIKE,WALLENPAUPACK NO INT
89,8172,4,CHESTER,BANCROFT EL SCH
2061,1608,4,COLUMBIA,W W EVANS MEMORIAL E
2078,3575,4,NORTHUMBERLAND,WARRIOR RUN MS
142,55,4,ALLEGHENY,BETHEL MEMORIAL EL SCH
2080,5336,4,LANCASTER,WARWICK MS
2082,1734,4,YORK,WASHINGTON HEIGHTS E
1932,5330,4,FRANKLIN,SUMMITVIEW EL SCH
74,3031,4,LYCOMING,AVIS EL SCH
166,7419,4,SCHUYLKILL,BLUE MOUNTAIN EL CRESSONA SCH
2094,6865,4,WAYNE,WAYNE HIGHLANDS MS
