,ZipCode,County
1,15001,Beaver
2,15004,Washington
3,15006,Allegheny
4,15012,Fayette
5,15062,Westmoreland
6,15310,Greene
7,15411,Somerset
8,15521,Bedford
9,15536,Fulton
10,15656,Armstrong
11,15681,Indiana
12,15711,Jefferson
13,15714,Cambria
14,15721,Clearfield
15,15821,Elk
16,15828,Forest
17,15832,Cameron
18,16001,Butler
19,16028,Clarion
20,16101,Lawrence
21,16110,Crawford
22,16113,Mercer
23,16301,Venango
24,16312,Warren
25,16333,Mckean
26,16401,Erie
27,16601,Blair
28,16611,Huntingdon
29,16677,Centre
30,16720,Potter
31,16822,Clinton
32,16901,Tioga
33,16910,Bradford
34,17001,Cumberland
35,17002,Mifflin
36,17003,Lebanon
37,17005,Dauphin
38,17006,Perry
39,17014,Juniata
40,17017,Northumberland
41,17019,York
42,17022,Lancaster
43,17201,Franklin
44,17301,Adams
45,17701,Lycoming
46,17731,Sullivan
47,17810,Union
48,17812,Snyder
49,17814,Columbia
50,17821,Montour
51,17901,Schuylkill
52,18001,Northampton
53,18011,Lehigh
54,18012,Carbon
55,18039,Bucks
56,18041,Montgomery
57,18056,Berks
58,18058,Monroe
59,18201,Luzerne
60,18324,Pike
61,18403,Lackawanna
62,18405,Wayne
63,18413,Susquehanna
64,18419,Wyoming
65,19008,Delaware
66,19019,Philadelphia
67,19301,Chester
