,ZipCode,Lat,Long
0,15001.0,40.61,-80.25
1,15004.0,40.39,-80.44
2,15006.0,40.54,-79.83
3,15012.0,40.12,-79.86
4,15062.0,40.15,-79.88
5,15310.0,39.82,-80.45
6,15411.0,39.74,-79.33
7,15521.0,40.19,-78.62
8,15536.0,39.93,-78.21
9,15656.0,40.63,-79.6
10,15681.0,40.48,-79.44
11,15711.0,41.01,-78.96
12,15714.0,40.66,-78.78
13,15721.0,40.81,-78.78
14,15821.0,41.31,-78.33
15,15828.0,41.32,-79.14
16,15832.0,41.34,-78.13
17,16001.0,40.86,-79.89
18,16028.0,40.98,-79.61
19,16101.0,40.99,-80.34
20,16110.0,41.5,-80.37
21,16113.0,41.28,-80.4
22,16301.0,41.42,-79.7
23,16312.0,41.95,-79.3
24,16333.0,41.73,-78.95
25,16401.0,41.88,-80.36
26,16601.0,40.5,-78.4
27,16611.0,40.55,-78.1
28,16677.0,40.79,-78.21
29,16720.0,41.63,-78.08
30,16822.0,41.07,-77.58
31,16901.0,41.74,-77.3
32,16910.0,41.7,-76.82
33,17001.0,40.24,-76.92
34,17002.0,40.53,-77.81
35,17003.0,40.33,-76.5
36,17005.0,40.6,-76.8
37,17006.0,40.33,-77.51
38,17014.0,40.65,-77.1
39,17017.0,40.65,-76.87
40,17019.0,40.11,-77.03
41,17022.0,40.15,-76.59
42,17201.0,39.93,-77.65
43,17301.0,39.88,-76.98
44,17701.0,41.23,-77.03
45,17731.0,41.4,-76.58
46,17810.0,41.09,-76.9
47,17812.0,40.74,-77.22
48,17814.0,41.19,-76.38
49,17821.0,40.96,-76.61
50,17901.0,40.67,-76.2
51,18001.0,40.66,-75.55
52,18011.0,40.5,-75.6
53,18012.0,40.84,-75.57
54,18039.0,40.55,-75.24
55,18041.0,40.4,-75.5
56,18056.0,40.44,-75.58
57,18058.0,40.88,-75.47
58,18201.0,40.95,-75.97
59,18324.0,41.09,-75.0
60,18403.0,41.5,-75.53
61,18405.0,41.6,-75.15
62,18413.0,41.64,-75.59
63,18419.0,41.56,-75.78
64,19008.0,39.96,-75.35
65,19019.0,39.95,-75.16
66,19301.0,40.04,-75.49
