,City Name,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County
0,Aaronsburg,613,52.2,60710,53.5,46.5,26139,170914," [(['White alone'], ['606']), (['Hispanic'], ['3']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Centre-County
1,Abbottstown,1013,36.9,56524,50.1,49.9,22680,152520," [(['White alone'], ['894']), (['Hispanic'], ['95']), (['Asian alone'], ['10']), (['Black alone'], ['7']), (['Two or more races'], ['5'])] ",Adams-County
2,Ackermanville,610,35.5,66438,54.6,45.4,31852,218000," [(['White alone'], ['590']), (['Hispanic'], ['15']), (['Black alone'], ['3']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Northampton-County
3,Adamstown,1837,33.8,73873,48.9,51.1,30362,209740," [(['White alone'], ['1,633']), (['Asian alone'], ['78']), (['Hispanic'], ['30']), (['Two or more races'], ['27']), (['Black alone'], ['20']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County
4,Addison,202,40.8,40443,43.5,56.5,20333,125874," [(['White alone'], ['203']), (['American Indian alone'], ['2']), (['Black alone'], ['1']), (['Two or more races'], ['1'])] ",Somerset-County
5,Akron,3978,35.7,60877,50.7,49.3,29237,173004," [(['White alone'], ['3,575']), (['Hispanic'], ['153']), (['Asian alone'], ['59']), (['Black alone'], ['46']), (['Two or more races'], ['35']), (['American Indian alone'], ['5']), (['Other race alone'], ['3'])] ",Lancaster-County
6,Albion,1478,43.5,41115,47.2,52.8,21515,98115," [(['White alone'], ['1,436']), (['Black alone'], ['34']), (['Hispanic'], ['15']), (['Two or more races'], ['9']), (['American Indian alone'], ['4']), (['Asian alone'], ['5'])] ",Erie-County
7,Albrightsville,202,49.9,51676,40.7,59.3,26306,139000," [(['White alone'], ['180']), (['Hispanic'], ['14']), (['Black alone'], ['5']), (['Asian alone'], ['2']), (['Two or more races'], ['1'])] ",Carbon-County
8,Alburtis,2402,34.4,78340,50.5,49.5,30744,179261," [(['White alone'], ['2,127']), (['Hispanic'], ['131']), (['Black alone'], ['43']), (['Asian alone'], ['30']), (['Two or more races'], ['29']), (['American Indian alone'], ['1'])] ",Lehigh-County
9,Aldan,4166,47.1,65211,45.5,54.5,32693,168769," [(['White alone'], ['3,013']), (['Black alone'], ['1,046']), (['Hispanic'], ['33']), (['Two or more races'], ['24']), (['American Indian alone'], ['15']), (['Asian alone'], ['16'])] ",Delaware-County
