,AUNbr,School Name,School Number,Assaults on Staff,Assaults on Students,Conduct OSS,county,enrollment
0,120481107.0,Bethlehem AVTS,5286.0,0.0,0.0,50.0,Northampton,1315.0
1,110171607.0,Clearfield County CTC,5276.0,0.0,0.0,8.0,Clearfield,294.0
2,106161357.0,Clarion County Career Center,6909.0,0.0,0.0,1.0,Clarion,292.0
3,116191757.0,Columbia-Montour AVTS,5178.0,0.0,0.0,18.0,Columbia,625.0
4,101266007.0,Connellsville Area Career & Technical Ce,6643.0,0.0,0.0,0.0,Fayette,240.0
5,114067107.0,Reading Muhlenberg CTC,5275.0,0.0,0.0,80.0,Berks,1041.0
6,105201407.0,Crawford County CTC,5179.0,0.0,0.0,17.0,Crawford,549.0
7,116606707.0,SUN Area Technical Institute,5355.0,0.0,0.0,0.0,Union,273.0
8,115211657.0,Cumberland-Perry AVTS,5277.0,0.0,0.0,25.0,Cumberland,920.0
9,115221607.0,Dauphin County Technical School,5278.0,0.0,0.0,120.0,Dauphin,969.0
10,125232407.0,Delaware County Technical High School-As,7058.0,0.0,0.0,17.0,Delaware,444.0
11,125232407.0,Delaware County Technical High School-Fo,7057.0,0.0,0.0,32.0,Delaware,537.0
12,129546907.0,Schuylkill Technology Centers-North Camp,6587.0,0.0,0.0,11.0,Schuylkill,138.0
13,129546907.0,Schuylkill Technology Centers-South Camp,7066.0,0.0,0.0,10.0,Schuylkill,174.0
14,109420107.0,Seneca Highlands Career and Technical Ce,7013.0,0.0,0.0,0.0,McKean,262.0
15,101262507.0,Fayette County Career & Technical Instit,4842.0,0.0,0.0,0.0,Fayette,587.0
16,103023807.0,Forbes Road CTC,5016.0,0.0,0.0,16.0,Allegheny,740.0
17,112282307.0,Franklin County CTC,5119.0,0.0,0.0,13.0,Franklin,355.0
18,111292507.0,Fulton County AVTS,7192.0,0.0,0.0,0.0,Fulton,158.0
19,108070607.0,Greater Altoona CTC,6193.0,0.0,0.0,89.0,Blair,931.0
20,108112607.0,Greater Johnstown CTC,5288.0,0.0,0.0,9.0,Cambria,319.0
21,101302607.0,Greene County CTC,5282.0,0.0,0.0,20.0,Greene,339.0
22,111312607.0,Huntingdon County CTC,6606.0,0.0,0.0,3.0,Huntingdon,344.0
23,118403207.0,Hazleton Area Career Center,5151.0,0.0,0.0,27.0,Luzerne,783.0
24,128324207.0,Indiana County Technology Center,7032.0,0.0,0.0,0.0,Indiana,411.0
25,106333407.0,Jefferson County-DuBois AVTS,5180.0,0.0,0.0,0.0,Jefferson,385.0
26,110183707.0,Keystone Central CTC,7067.0,0.0,0.0,0.0,Clinton,585.0
27,113363807.0,Lancaster County CTC-Brownstown Campus,5285.0,0.0,0.0,36.0,Lancaster,315.0
28,113363807.0,Lancaster County CTC-Mt Joy Campus,5283.0,0.0,0.0,40.0,Lancaster,398.0
29,113363807.0,Lancaster County CTC-Willow St Campus,5284.0,0.0,0.0,72.0,Lancaster,562.0
30,104374207.0,Lawrence County CTC,4940.0,0.0,0.0,55.0,Lawrence,364.0
31,113384307.0,Lebanon County CTC,5156.0,0.0,0.0,70.0,Lebanon,581.0
32,121393007.0,Lehigh Career & Technical Institute,5338.0,0.0,0.0,188.0,Lehigh,2470.0
33,117414807.0,Lycoming CTC,7291.0,0.0,0.0,4.0,Lycoming,292.0
34,128034607.0,Lenape Tech,4807.0,0.0,0.0,42.0,Armstrong,510.0
35,103026037.0,McKeesport Area Tech Ctr,6672.0,0.0,0.0,0.0,Allegheny,299.0
36,104435107.0,Mercer County Career Center,6744.0,0.0,0.0,6.0,Mercer,495.0
37,122097007.0,Middle Bucks Institute of Technology,5175.0,0.0,0.0,7.0,Bucks,787.0
38,111444207.0,Mifflin-Juniata CTC,5061.0,0.0,0.0,3.0,Mifflin,355.0
39,101634207.0,Mon Valley CTC,6635.0,0.0,0.0,0.0,Washington,344.0
40,120454507.0,Monroe Career & Tech Inst,6674.0,0.0,0.0,43.0,Monroe,974.0
41,123465507.0,North Montco Tech Career Center,4958.0,0.0,0.0,13.0,Montgomery,1044.0
42,117080607.0,Northern Tier Career Center,6908.0,0.0,0.0,0.0,Bradford,326.0
43,107656407.0,Northern Westmoreland CTC,6816.0,0.0,0.0,2.0,Westmoreland,350.0
44,123463507.0,Eastern Center for Arts & Technology,4822.0,0.0,0.0,0.0,Montgomery,496.0
45,107652207.0,Eastern Westmoreland CTC,6174.0,0.0,0.0,0.0,Westmoreland,549.0
46,108567807.0,Somerset County Technology Center,6660.0,0.0,0.0,15.0,Somerset,383.0
47,103028807.0,Steel Center AVTS,6113.0,0.0,0.0,29.0,Allegheny,636.0
48,119584707.0,Susquehanna County CTC,7106.0,0.0,0.0,16.0,Susquehanna,408.0
49,122099007.0,Upper Bucks County Technical School,4699.0,0.0,0.0,43.0,Bucks,627.0
50,106619107.0,Venango Technology Center,5162.0,0.0,0.0,0.0,Venango,539.0
51,105628007.0,Warren County AVTS,5356.0,0.0,0.0,1.0,Warren,301.0
52,118408707.0,West Side CTC,5059.0,0.0,0.0,98.0,Luzerne,521.0
53,101638907.0,Western Area CTC,6609.0,0.0,0.0,21.0,Washington,449.0
54,123469007.0,Western Montgomery CTC,4959.0,0.0,0.0,20.0,Montgomery,429.0
55,112679107.0,York Co School of Technology,5168.0,0.0,0.0,0.0,York,1564.0
56,118408607.0,Wilkes-Barre CTC,6632.0,0.0,0.0,85.0,Luzerne,799.0
57,103020407.0,A W Beattie Career Center,5273.0,0.0,0.0,5.0,Allegheny,613.0
58,116495207.0,Northumberland County CTC,6353.0,0.0,0.0,0.0,Northumberland,110.0
59,108110307.0,Admiral Peary AVTS,6661.0,0.0,0.0,15.0,Cambria,436.0
60,103027307.0,Parkway West CTC,5274.0,0.0,0.0,67.0,Allegheny,619.0
61,127041307.0,Beaver County CTC,6985.0,0.0,0.0,21.0,Beaver,609.0
62,108051307.0,Bedford County Technical Center,7096.0,0.0,0.0,0.0,Bedford,477.0
63,114060557.0,Berks CTC-East Campus,6304.0,0.0,0.0,22.0,Berks,845.0
64,114060557.0,Berks CTC-West Campus,7068.0,0.0,0.0,22.0,Berks,821.0
65,105252807.0,Erie County Technical School,5045.0,0.0,0.0,55.0,Erie,795.0
66,122091457.0,Bucks County Technical High School,1030.0,0.0,0.0,0.0,Bucks,1468.0
67,104101307.0,Butler County AVTS,6999.0,0.0,0.0,29.0,Butler,922.0
68,119354207.0,CTC of Lackawanna County,7290.0,0.0,0.0,59.0,Lackawanna,558.0
69,121131507.0,Carbon Career & Technical Institute,4870.0,0.0,0.0,35.0,Carbon,361.0
70,120483007.0,Career Institute of Technology,5109.0,0.0,0.0,16.0,Northampton,660.0
71,123460957.0,Central Montco Technical High School,4967.0,0.0,0.0,27.0,Montgomery,522.0
72,110141607.0,Central PA Institute of Science & Techno,5094.0,0.0,0.0,0.0,Centre,364.0
73,107651207.0,Central Westmoreland CTC,6172.0,0.0,0.0,0.0,Westmoreland,1004.0
74,124151607.0,Chester County Technical College High Sc,7293.0,0.0,0.0,30.0,Chester,396.0
75,124151607.0,Chester County Technical College High Sc,7292.0,0.0,0.0,18.0,Chester,667.0
76,124151607.0,Chester County Technical College High Sc,7860.0,0.0,0.0,21.0,Chester,657.0
77,102023180.0,Career Connections CHS,7577.0,0.0,0.0,83.0,Allegheny,241.0
78,110143060.0,Centre Learning Community CS,7552.0,0.0,0.0,2.0,Centre,103.0
79,126513190.0,Charter High School for Architecture and,7578.0,0.0,0.0,128.0,Philadelphia,612.0
80,124152880.0,Chester Co Family Academy CS,7514.0,0.0,0.0,0.0,Chester,61.0
81,125232950.0,Chester Community CS,7539.0,0.0,0.0,552.0,Delaware,3033.0
82,108070001.0,Central PA Digital Lrng Foundation CS,7720.0,0.0,0.0,0.0,Blair,114.0
83,122090001.0,Center for Student Lrng CS Pennsbury,7726.0,0.0,0.0,91.0,Bucks,153.0
84,126510009.0,Philadelphia Electrical & Tech CHS,7737.0,0.0,0.0,141.0,Philadelphia,642.0
85,126512850.0,Philadelphia Harambee Inst CS,7511.0,0.0,0.0,0.0,Philadelphia,504.0
86,126510016.0,Philadelphia Montessori CS,7828.0,0.0,0.0,19.0,Philadelphia,169.0
87,126513400.0,Philadelphia Performing Arts CS,7647.0,0.0,0.0,0.0,Philadelphia,1060.0
88,124150002.0,21st Century Cyber CS,7691.0,0.0,0.0,1.0,Chester,754.0
89,122093460.0,Bucks County Montessori CS,7670.0,0.0,0.0,0.0,Bucks,199.0
90,105257512.0,Erie Rise Leadership Academy Charter Sch,8163.0,0.0,0.0,0.0,Erie,252.0
91,126513440.0,Esperanza Academy Charter High School,7665.0,0.0,0.0,125.0,Philadelphia,798.0
92,126513100.0,Eugenio Maria DE Hostos CS,7564.0,0.0,0.0,18.0,Philadelphia,454.0
93,120450003.0,Evergreen Community CS,7866.0,0.0,0.0,0.0,Monroe,89.0
94,185515523.0,Boys Latin of Philadelphia CS,7981.0,0.0,0.0,1.0,Philadelphia,482.0
95,127043430.0,Pennsylvania Cyber CS,7650.0,0.0,0.0,1.0,Beaver,10434.0
96,115220003.0,Pennsylvania Distance Learning CS,7821.0,0.0,0.0,0.0,Allegheny,358.0
97,124150004.0,Pennsylvania Leadership CS,7819.0,0.0,0.0,0.0,Chester,2324.0
98,123460001.0,Pennsylvania Virtual CS,7687.0,0.0,0.0,3.0,Montgomery,3198.0
99,126510004.0,People for People CS,7685.0,0.0,0.0,134.0,Philadelphia,545.0
100,105250001.0,Perseus House CS of Excellence,7770.0,0.0,0.0,408.0,Erie,550.0
101,126513070.0,Belmont Academy Charter School,7557.0,0.0,0.0,0.0,Philadelphia,116.0
102,126510010.0,Belmont Charter School,7750.0,0.0,0.0,378.0,Philadelphia,487.0
103,118400001.0,Bear Creek Community CS,7827.0,0.0,0.0,21.0,Luzerne,421.0
104,127040001.0,Beaver Area Academic CS,7847.0,0.0,0.0,26.0,Beaver,92.0
105,103022481.0,Penn Hills Charter School for Entreprene,8160.0,0.0,0.0,0.0,Allegheny,316.0
106,124150003.0,Avon Grove CS,7721.0,0.0,0.0,0.0,Chester,1581.0
107,126512990.0,Alliance for Progress CS,7543.0,0.0,0.0,31.0,Philadelphia,395.0
108,126513452.0,Olney Charter High School,8205.0,0.0,0.0,198.0,Philadelphia,1728.0
109,103020001.0,PA Learners Online Regional Cyber CS,7690.0,0.0,0.0,0.0,Allegheny,318.0
110,173515368.0,Pan American Academy CS,7985.0,0.0,0.0,58.0,Philadelphia,725.0
111,104510394.0,Antonia Pantoja Community Charter School,8031.0,0.0,0.0,20.0,Philadelphia,730.0
112,126510020.0,Agora Cyber CS,7858.0,0.0,0.0,0.0,Chester,9175.0
113,126510019.0,Northwood Academy CS,7856.0,0.0,0.0,0.0,Philadelphia,780.0
114,125230001.0,Achievement House CS,7824.0,0.0,0.0,0.0,Chester,802.0
115,126510015.0,Ad Prima CS,7825.0,0.0,0.0,0.0,Philadelphia,407.0
116,168518013.0,ARISE Academy Charter High School,8122.0,0.0,0.0,0.0,Philadelphia,158.0
117,181519176.0,ASPIRA Bilingual Cyber Charter School,8148.0,0.0,0.0,0.0,Philadelphia,148.0
118,102020003.0,Academy CS,7846.0,0.0,0.0,42.0,Allegheny,186.0
119,126514368.0,ACT Academy Cyber CS,8217.0,0.0,0.0,0.0,Philadelphia,89.0
120,125230002.0,Widener Partnership CS,7907.0,0.0,0.0,10.0,Delaware,373.0
121,126510007.0,Wissahickon CS,7724.0,0.0,0.0,57.0,Philadelphia,450.0
122,110143310.0,Wonderland CS,7626.0,0.0,0.0,0.0,Centre,68.0
123,126512860.0,World Communications CS,7512.0,0.0,0.0,41.0,Philadelphia,561.0
124,189670676.0,York Academy Regional Charter School,8131.0,0.0,0.0,0.0,York,296.0
125,126513250.0,Young Scholars CS,7584.0,0.0,0.0,80.0,Philadelphia,250.0
126,126518547.0,Young Scholars Frederick Douglass Charte,8150.0,0.0,0.0,236.0,Philadelphia,765.0
127,110140001.0,Young Scholars of Central PA CS,7841.0,0.0,0.0,2.0,Centre,246.0
128,103025206.0,Young Scholars of Western Pennsylvania C,8156.0,0.0,0.0,4.0,Allegheny,178.0
129,126512870.0,Youth Build Phila CS,7513.0,0.0,0.0,45.0,Philadelphia,252.0
130,126513020.0,West Oak Lane CS,7548.0,0.0,0.0,104.0,Philadelphia,902.0
131,126510006.0,West Phila. Achievement CES,7722.0,0.0,0.0,38.0,Philadelphia,613.0
132,199025446.0,Environmental Charter School at Frick Pa,8028.0,0.0,0.0,0.0,Allegheny,525.0
133,103023410.0,Spectrum CS,7648.0,0.0,0.0,4.0,Allegheny,32.0
134,141019741.0,Vida Charter School,8128.0,0.0,0.0,0.0,Adams,198.0
135,126513220.0,Wakisha CS,7581.0,0.0,0.0,0.0,Philadelphia,393.0
136,126513490.0,Walter D Palmer Leadership Learning Part,7674.0,0.0,0.0,0.0,Philadelphia,1024.0
137,103023090.0,Urban League of Greater Pittsburgh CS,7563.0,0.0,0.0,0.0,Allegheny,214.0
