,County,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic
0,BERKS,7484,10TH & PENN EL,2.47,16.47,29.83,51.24
1,CHESTER,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95
2,FAYETTE,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13
3,FAYETTE,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6
4,LACKAWANNA,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44
5,MONTGOMERY,3242,ABINGTON JHS,27.44,38.17,24.23,10.16
6,ALLEGHENY,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01
7,ALLEGHENY,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43
8,CHESTER,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43
9,ALLEGHENY,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55
10,PHILADELPHIA,7825,AD PRIMA CS,8.09,32.29,33.55,26.11
11,PHILADELPHIA,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48
12,LANCASTER,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05
13,BUCKS,7519,AFTON EL SCH,52.52,31.23,11.01,5.26
14,CHESTER,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4
15,LANCASTER,2564,AKRON EL SCH,28.83,39.49,21.05,10.67
16,FAYETTE,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07
17,FAYETTE,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87
18,BUCKS,1072,ALBERT SCHWEITZER ES,27.36,40.75,21.3,10.64
19,LEHIGH,2799,ALBURTIS EL SCH,23.11,41.7,26.49,8.73
20,DELAWARE,6509,ALDAN SCH,5.72,25.87,28.15,40.3
21,BEAVER,8085,ALIQUIPPA EL SCH,3.94,18.27,36.98,40.87
22,BEAVER,8086,ALIQUIPPA JSHS,0.9,12.23,36.08,50.75
23,ALLEGHENY,7615,ALLEGHENY TRAD ELEM ACAD,13.8,32.16,35.52,18.57
24,ALLEGHENY,7616,ALLEGHENY TRAD MS ACAD,2.45,17.15,34.96,45.35
25,CLARION,4664,ALLEGHENY-CLARION VA,11.87,34.33,30.09,23.75
26,CLARION,7467,ALLEGHENY-CLARION VAL ELEM,13.27,34.49,33.6,18.64
27,PHILADELPHIA,5292,ALLEN  ETHEL DR.,0.43,6.02,27.63,65.92
28,PHILADELPHIA,3758,ALLEN ETHAN SCH,4.37,15.98,27.56,52.13
29,YORK,1741,ALLEN MS,16.54,34.52,28.17,20.73
30,PHILADELPHIA,7543,ALLIANCE FOR PROGRESS CS,8.71,30.04,35.46,25.82
31,WASHINGTON,4234,ALLISON PARK EL SCH,21.03,37.18,28.51,13.27
32,ADAMS,7784,ALLOWAY CREEK INT SCH,23.89,36.77,30.04,9.31
33,BLAIR,7986,ALTOONA AREA JR HS,11.8,33.91,31.2,23.13
34,BERKS,840,AMANDA E STOUT EL SCH,5.27,22.47,32.82,39.44
35,BEAVER,633,AMBRIDGE AREA JHS,11.68,29.7,31.85,26.79
36,BERKS,8285,AMITY EL CTR,30.41,37.97,22.25,9.36
