"","colors","color_groups"
"1","Apricot","Light"
"2","Black","Dark"
"3","Black Brindle","Dark/Medium"
"4","Black Smoke","Dark"
"5","Black Tiger","Dark/Medium"
"6","Blue","Medium"
"7","Blue Cream","Medium/Light"
"8","Blue Merle","Light/Medium"
"9","Blue Smoke","Medium"
"10","Blue Tick","Medium"
"11","Blue Tiger","Medium"
"12","Brown","Medium"
"13","Brown Brindle","Medium"
"14","Brown Merle","Light/Medium"
"15","Brown Tabby","Medium"
"16","Brown Tiger","Medium"
"17","Buff","Light"
"18","Chocolate","Dark"
"19","Cream","Light"
"20","Fawn","Light/Dark"
"21","Gold","Medium"
"22","Gray","Medium"
"23","Liver","Medium"
"24","Liver Tick","Light/Medium"
"25","Orange","Medium"
"26","Pink","Medium"
"27","Red","Medium"
"28","Red Merle","Light/Medium"
"29","Red Tick","Light/Medium"
"30","Ruddy","Medium"
"31","Sable","Medium/Dark"
"32","Silver","Medium"
"33","Tan","Medium"
"34","Tricolor","Light/Medium/Dark"
"35","White","Light"
"36","Yellow","Light"
"37","Yellow Brindle","Light/Medium"
"38","Gray Tiger","Medium/Dark"
"39","Agouti","Medium"
"40","Apricot","Light"
"41","Black","Dark"
"42","Black Smoke","Dark"
"43","Black Tabby","Dark"
"44","Black Tiger","Dark/Medium"
"45","Blue","Medium"
"46","Blue Cream","Medium/Light"
"47","Blue Point","Light/Medium"
"48","Blue Smoke","Medium"
"49","Blue Tabby","Medium/Light"
"50","Brown","Medium"
"51","Brown Tabby","Medium/Light"
"52","Brown Tiger","Medium"
"53","Buff","Light"
"54","Calico","Light/Medium/Dark"
"55","Calico Point","Light/Medium/Dark"
"56","Chocolate","Dark"
"57","Chocolate Point","Medium/Dark"
"58","Cream","Light"
"59","Cream Tabby","Light/Medium"
"60","Flame Point","Light"
"61","Gray","Medium"
"62","Gray Tabby","Medium/Light"
"63","Lilac Point","Light/Medium"
"64","Lynx Point","Light/Medium"
"65","Orange","Medium"
"66","Orange Tabby","Medium"
"67","Orange Tiger","Medium"
"68","Pink","Medium"
"69","Seal Point","Light/Dark"
"70","Silver","Medium"
"71","Silver Lynx Point","Light/Medium"
"72","Silver Tabby","Medium/Dark"
"73","Tan","Medium"
"74","Torbie","Medium/Dark"
"75","Tortie","Dark/Medium"
"76","Tortie Point","Light/Dark"
"77","Tricolor","Light/Medium/Dark"
"78","White","Light"
"79","Yellow","Light"
"80","Red","Medium"
"81","Black Brindle","Dark/Medium"
"82","Fawn","Light"
